hawii,illegals.alabama,illegals.alaska,illegals.arizona,illegals.arkansas,illegals.california,illegals.colorado,illegals.connecticut,illegals.delaware,illegals.district of columbia,illegals.florida,illegals.georgia,illegals.guam,illegals.hawaii,illegals.idaho,illegals.illinois,illegals.indiana,illegals.iowa,illegals.kansas,illegals.kentucky,illegals.louisiana,illegals.maine,illegals.maryland,illegals.massachusetts,illegals.michigan,illegals.minnesota,illegals.mississippi,illegals.missouri,illegals.montana,illegals.nebraska,illegals.nevada,illegals.new hampshire,illegals.new jersey,illegals.new mexico,illegals.new york,illegals.north carolina,illegals.north dakota,illegals.ohio,illegals.oklahoma,illegals.oregon,illegals.pennsylvania,illegals.puerto rico,illegals.rhode island,illegals.south carolina,illegals.south dakota,illegals.tennessee,illegals.texas,illegals.total,illegals.utah,illegals.vermont,illegals.virginia,illegals.washington,illegals.west virginia,illegals.wisconsin,illegals.wyoming,louisana,naturalizations.alabama,naturalizations.alaska,naturalizations.arizona,naturalizations.arkansas,naturalizations.california,naturalizations.colorado,naturalizations.connecticut,naturalizations.delaware,naturalizations.district of columbia,naturalizations.florida,naturalizations.georgia,naturalizations.guam,naturalizations.hawaii,naturalizations.idaho,naturalizations.illinois,naturalizations.indiana,naturalizations.iowa,naturalizations.kansas,naturalizations.kentucky,naturalizations.louisiana,naturalizations.maine,naturalizations.maryland,naturalizations.massachusetts,naturalizations.michigan,naturalizations.minnesota,naturalizations.mississippi,naturalizations.missouri,naturalizations.montana,naturalizations.nebraska,naturalizations.nevada,naturalizations.new hampshire,naturalizations.new jersey,naturalizations.new mexico,naturalizations.new york,naturalizations.north carolina,naturalizations.north dakota,naturalizations.ohio,naturalizations.oklahoma,naturalizations.oregon,naturalizations.pennsylvania,naturalizations.puerto rico,naturalizations.rhode island,naturalizations.south carolina,naturalizations.south dakota,naturalizations.tennessee,naturalizations.texas,naturalizations.total,naturalizations.utah,naturalizations.vermont,naturalizations.virginia,naturalizations.washington,naturalizations.west virginia,naturalizations.wisconsin,naturalizations.wyoming,pennslyvania,permanants.alabama,permanants.alaska,permanants.arizona,permanants.arkansas,permanants.california,permanants.colorado,permanants.connecticut,permanants.delaware,permanants.district of columbia,permanants.florida,permanants.georgia,permanants.guam,permanants.hawaii,permanants.idaho,permanants.illinois,permanants.indiana,permanants.iowa,permanants.kansas,permanants.kentucky,permanants.louisiana,permanants.maine,permanants.maryland,permanants.massachusetts,permanants.michigan,permanants.minnesota,permanants.mississippi,permanants.missouri,permanants.montana,permanants.nebraska,permanants.nevada,permanants.new hampshire,permanants.new jersey,permanants.new mexico,permanants.new york,permanants.north carolina,permanants.north dakota,permanants.ohio,permanants.oklahoma,permanants.oregon,permanants.pennsylvania,permanants.puerto rico,permanants.rhode island,permanants.south carolina,permanants.south dakota,permanants.tennessee,permanants.texas,permanants.total,permanants.utah,permanants.vermont,permanants.virginia,permanants.washington,permanants.west virginia,permanants.wisconsin,permanants.wyoming,year
425,0,0,602216,0,242557,5943,0,0,2135,7988,3237,0,0,0,8113,0,0,0,0,0,263,990,3141,4151,2596,0,0,986,0,0,0,1892,0,5721,0,1225,0,0,0,0,2998,0,0,0,0,351747,1264232,0,2701,0,5455,0,0,0,5246,734,777,6500,823,145593,6007,5957,982,882,43795,6880,1052,2050,864,29432,2455,1314,2093,1307,1458,548,12295,16263,14615,7713,557,3999,285,1537,4622,958,30291,1449,66234,5084,267,8590,1765,3612,10205,512,2185,1748,257,2613,35417,537151,3110,419,13478,12667,237,3570,146,2506,2247,1261,19507,2288,253858,11255,12335,1705,2148,76178,16681,1275,6405,2299,46896,6262,4067,4139,3820,3095,1322,20549,28067,18851,12097,1312,7050,452,3002,8798,2280,50699,3076,103151,11036,591,12072,3578,8540,18813,4760,3740,2672,747,5844,92440,957883,4346,814,22104,19758,634,5580,304,2004
251,0,0,588156,0,210011,4440,0,0,2295,11449,3659,0,0,0,7056,0,0,0,0,0,233,980,3248,4273,2925,0,0,948,0,0,0,1594,0,6251,0,754,0,0,0,0,3310,0,0,0,0,425441,1291065,0,1936,0,5581,0,0,0,3578,795,951,6785,990,170489,5681,8169,945,939,42999,7903,682,4663,1097,27739,2650,234,1814,1820,1700,772,11503,22685,11418,7383,520,2733,209,1365,5901,971,33160,1401,84624,5862,203,9415,1799,4777,13307,1641,2604,916,354,3578,38553,604280,2874,488,17653,14817,362,4040,134,2696,4200,1524,18986,2698,232014,11975,15334,2991,2457,122915,31527,1436,6480,2768,52415,6913,4535,4512,5265,3776,1907,22868,34232,23591,15449,1829,8742,589,2996,9823,3298,56176,3513,136815,16710,864,16892,4702,9623,28902,3623,3852,5028,881,8960,95951,1122257,5082,1042,27095,26480,847,7907,321,2005
381,0,0,521245,0,229644,5718,0,0,2386,11658,5446,0,0,0,8247,0,0,0,0,0,175,1565,3600,5313,3810,0,0,567,0,0,0,2678,0,7091,0,517,0,0,0,0,3297,0,0,0,0,374392,1206412,296,1544,0,6705,0,0,0,6657,1946,831,9707,1133,152836,5526,7231,1187,1089,90846,19785,873,5276,980,30156,3885,805,2509,2049,1336,802,14465,22932,11675,9137,495,3711,225,1797,8202,2483,39801,1538,103870,12592,329,8796,2246,4332,15846,1413,2266,2940,342,3334,37835,702589,2740,569,20401,12762,390,3247,169,3480,4277,1554,21529,2924,264667,12713,18697,2263,3775,155986,32202,1716,7499,2377,52452,8122,4085,4277,5504,2693,1717,30199,35558,20907,18249,1480,6852,505,3795,14713,2987,65931,3805,180157,18987,649,16585,4590,9188,25950,4093,4778,5291,1013,10037,89027,1266129,5749,894,38483,23803,763,8339,376,2006
234,0,0,417830,0,218153,4424,0,0,2961,12400,6952,0,0,0,5813,0,0,0,0,0,95,2081,3126,4861,3499,0,0,486,0,0,0,2591,0,6489,0,500,0,0,0,0,1775,0,0,0,0,248212,960772,576,1119,0,5493,0,0,0,7560,1343,849,12091,1214,181684,7829,4552,1094,1334,54563,14181,1057,4521,1261,38735,3652,2093,2406,2256,2240,728,11613,20952,10678,9124,657,4237,251,2188,8363,1821,35235,1704,73676,6606,415,9250,1812,5572,11371,1518,2088,1499,460,2927,53032,660477,2777,468,14171,14671,310,4485,190,3542,3393,1617,17528,2722,228941,11039,12932,2085,2541,126277,27353,1438,7236,2044,41971,6639,3103,4141,4340,3475,1488,24255,30555,18727,13814,1593,6459,575,3066,12308,2272,55834,3112,136739,15469,496,14078,4269,7905,22811,2917,3354,4788,668,8942,77278,1052415,5168,791,29682,22657,721,7381,380,2007
368,0,0,345786,0,229794,5873,0,0,3055,15384,4402,0,0,0,15801,0,0,0,0,0,81,1529,2195,7531,4277,0,0,426,0,0,0,1311,0,13243,0,542,0,0,0,0,1075,0,0,0,0,196877,876273,3690,1282,0,4552,0,0,0,10777,1982,1145,24055,2330,297909,11972,9589,1425,1492,128328,20417,998,5205,2240,45224,5104,3503,4072,3093,3018,924,23342,28728,14634,9220,944,5849,358,2866,13150,1617,59950,3058,90572,8509,336,11142,3335,9257,19673,2622,3721,3488,572,5560,82129,1046539,5394,518,29949,18665,505,5200,245,6422,3877,1534,20638,2997,238444,12741,12190,2295,2652,133445,27769,1305,6572,2766,42723,8028,3696,5344,5315,4011,1617,27062,30369,17947,15832,1679,7078,543,3668,11768,2466,53997,3509,143679,15174,662,14595,4306,9028,23646,3287,3735,4241,773,8348,89811,1107126,6087,771,30257,23170,798,7306,458,2008
215,0,0,262694,0,187156,7173,0,0,5676,21294,8627,0,0,0,14615,0,0,0,0,0,60,3176,4575,9511,5338,0,0,283,0,0,0,4873,0,12871,0,472,0,0,0,0,711,0,0,0,0,181312,762947,5475,1042,0,8958,0,0,0,10900,1775,1100,12377,1648,179754,6813,10421,1545,2188,82788,15408,654,3744,1674,28112,4261,2198,3129,2390,3402,729,17099,21748,10703,9089,1170,4526,267,1644,8470,1492,35077,3062,88733,16294,273,8072,2256,5051,16905,1253,2458,3506,415,4938,54024,743715,2823,426,24730,19853,361,3845,186,5940,3891,1608,20997,2942,227876,12841,13632,2184,2934,127006,28396,1427,6929,3120,41889,9087,3963,5319,5260,4299,1675,26722,32607,18919,18020,1652,7142,553,3989,12334,2483,58879,3887,150722,18562,843,15375,5007,9026,24105,4084,4156,4747,1271,9042,95384,1130818,6466,792,29825,27562,734,6727,429,2009
124,0,0,237530,0,170674,9110,0,0,5631,19858,22720,0,0,0,20981,0,0,0,0,0,56,3367,5588,9934,7978,0,0,290,0,0,0,5824,0,13818,0,543,0,0,0,0,669,0,0,0,0,197250,777038,9194,1422,0,11936,0,0,0,16299,2027,831,10340,1275,129354,7165,7452,1829,1319,67484,18253,644,3190,1102,26180,3866,1858,2492,2398,2423,839,16220,21095,11162,9020,967,4388,259,1590,6791,1670,33864,2205,67972,9988,286,8617,2678,4910,16143,1318,2078,3081,399,4229,49699,619913,2908,407,17815,16830,550,3864,229,6242,3740,1703,18243,2684,208446,12489,12222,2198,2897,107276,24833,1383,7037,2556,37909,8539,4245,5501,4930,4397,1349,26450,31069,18579,12408,1709,7151,457,4400,10803,2556,56920,3528,147999,16112,1058,13585,4627,7997,24130,4283,4027,4401,987,8156,87750,1042625,6085,867,28607,22283,729,6189,452,2010
167,0,0,144472,0,152505,8504,0,0,8811,21867,27494,0,0,0,20190,0,0,0,0,0,41,3494,5839,9200,8352,0,0,270,0,0,0,5911,0,11732,0,468,0,0,0,0,800,0,0,0,0,200884,674739,8730,815,0,11257,0,0,0,16690,2439,1115,12784,1559,151183,7805,8370,1470,1016,87309,17761,675,3450,1473,29133,4085,1840,2687,2778,2496,999,15790,22812,10414,11044,965,4175,297,1876,8519,1607,33826,2434,76603,11360,369,9326,2966,5657,16162,1692,2682,4033,420,5396,52927,694193,3595,431,13782,17317,348,4434,228,6246,4063,1799,20333,2874,210591,13547,12577,2355,2724,109229,27015,1313,7296,2602,38325,8262,4624,5086,5403,4226,1467,25778,32236,18347,12389,1666,7048,511,4535,10449,2478,55547,3767,148426,17571,948,13857,4503,7694,25397,3288,3681,4216,1337,8279,94481,1062040,6426,943,27767,23789,830,6245,420,2011
197,0,0,140016,0,122434,6651,0,0,7730,19971,24890,0,0,0,17113,0,0,0,0,0,41,3088,5614,8093,7341,0,0,102,0,0,0,5783,0,9985,0,418,0,0,0,0,880,0,0,0,0,250588,668460,7535,702,0,10079,0,0,0,13744,2084,1186,13090,1605,158850,7726,8332,1456,1958,100890,17093,800,3144,1384,28376,4146,2255,2905,2686,2344,941,16160,22753,11069,12016,972,4794,325,2039,7667,1507,42622,2689,93584,11848,377,10194,3133,5872,16470,2212,2854,4124,467,5557,57762,757434,3848,546,24224,17524,478,4379,220,5465,3873,1612,18434,2795,196622,13327,12237,2208,2811,103047,26134,1430,6764,2428,38373,8359,4679,4980,5243,4454,1497,24971,31392,17494,12999,1583,6635,503,4384,10343,2466,50790,3714,149505,17487,1144,13948,4646,7791,25032,3106,3798,3924,1521,8573,95557,1031631,5932,877,28227,23060,779,6049,427,2012
95,0,0,138443,0,96503,5045,0,0,5860,13934,17817,0,0,0,13056,0,0,0,0,0,37,2637,4133,6200,5679,0,0,88,0,0,0,4498,0,8396,0,469,0,0,0,0,1166,0,0,0,0,306839,660937,6182,531,0,8191,0,0,0,9980,1811,1083,13165,1567,164792,6263,9253,1460,1854,101773,19534,691,3494,1305,27706,4369,2503,2761,3341,2543,988,17752,21404,12950,10526,973,4817,294,2418,8507,1589,41173,2371,107330,12150,532,10664,3487,5784,17813,2447,2816,4770,464,5004,57947,779929,3026,496,22279,17589,443,4532,242,5158,3848,1460,16097,2900,191806,11108,10985,2325,2981,102939,24387,1210,6226,2120,35988,7668,4105,5000,5159,4355,1208,25361,29482,16952,12781,1716,6345,445,4141,9886,2227,53082,3664,133601,16798,1234,13819,4648,7171,24720,2942,3337,4266,1231,8380,92674,990553,5503,838,27861,22994,760,5918,522,2013
